Year,Rainfall
1985-11-01,-4.8154505518078805
1985-12-01,-7.324325358644128
1986-01-01,-6.882954806685447
1986-02-01,-4.064242375120521
1986-03-01,-2.270408415533602
1986-04-01,-1.4223810517787934
1986-05-01,2.484809453226626
1986-06-01,24.52177219102159
1986-07-01,205.8800838384032
1986-08-01,142.32171022430063
1986-09-01,106.28240481659769
1986-10-01,12.408018909040837
1986-11-01,-4.927427632622421
1986-12-01,-7.331796131432056
1987-01-01,-6.88674428012222
1987-02-01,-4.040684087537229
1987-03-01,-2.180623924471438
1987-04-01,-1.3777254370599985
1987-05-01,2.4283425805345176
1987-06-01,24.586685093492267
1987-07-01,205.52294709473847
1987-08-01,142.7779749956727
1987-09-01,98.15299382574855
1987-10-01,12.554794241022318
1987-11-01,-4.769290641210973
