Year,Rainfall,Month,SPI
1986-11-01,-4.927427632622421,11,-0.45210925848837696
1986-12-01,-7.331796131432056,12,-0.1955397855817695
1987-01-01,-6.88674428012222,1,-0.1764678291010528
1987-02-01,-4.040684087537229,2,0.33055642183775424
1987-03-01,-2.180623924471438,3,0.2759488384741659
1987-04-01,-1.3777254370599985,4,0.03304704585693898
1987-05-01,2.4283425805345176,5,0.08693683131801291
1987-06-01,24.586685093492267,6,0.3225877296873858
1987-07-01,205.52294709473847,7,0.3905915897961966
1987-08-01,142.7779749956727,8,-0.4870812163636238
1987-09-01,98.15299382574857,9,-0.9050080572277249
1987-10-01,12.554794241022318,10,-0.5723572732436201
1987-11-01,-4.769290641210973,11,-0.3764659635555801
1987-12-01,-7.213632845096289,12,-0.06447040947095647
1988-01-01,-6.789587049037218,1,-0.010101456354347697
1988-02-01,-3.9620246250927447,2,0.5577990892032435
1988-03-01,-2.048016017265618,3,0.6909798188233925
1988-04-01,-1.1479332552477717,4,0.5485178705141981
1988-05-01,3.101800633184612,5,0.6825094912461173
1988-06-01,25.722053252607584,6,0.784944245745093
1988-07-01,205.3316682678461,7,0.38449013637764107
1988-08-01,141.6191465817392,8,-0.5707343361040683
1988-09-01,102.43751920446752,9,-0.32634213156106023
1988-10-01,12.10288009615615,10,-0.6109663012254398
1988-11-01,-4.698544789217412,11,-0.34262537192767145
1988-12-01,-7.226329778395593,12,-0.07855413359260525
1989-01-01,-6.802706537358462,1,-0.032566502547241215
1989-02-01,-3.9946289705857634,2,0.4636070084631964
1989-03-01,-2.147789709046483,3,0.3787120665799082
1989-04-01,-1.223803854547441,4,0.3783246111969655
1989-05-01,3.027055720463395,5,0.6164088242330845
1989-06-01,25.435647148955614,6,0.668310951778693
1989-07-01,205.66357340604063,7,0.39507731830976706
1989-08-01,141.44535139143466,8,-0.5832802054407624
1989-09-01,107.75913658551872,9,0.3923929384061378
1989-10-01,12.07154848638922,10,-0.6136430994888913
1989-11-01,-4.833677885234356,11,-0.40726497677885876
1989-12-01,-7.313416678197681,12,-0.17515288248022465
1990-01-01,-6.874212988391518,1,-0.15500997642466574
1990-02-01,-4.049094622693956,2,0.30625886902476784
1990-03-01,-2.229363110922277,3,0.12340686145073465
1990-04-01,-1.386000754609704,4,0.014483817430251157
1990-05-01,2.5326595839112995,5,0.17918957806647134
1990-06-01,24.64693298852071,6,0.3471225086676834
1990-07-01,205.7402688327432,7,0.3975237656298634
1990-08-01,142.3058356772363,8,-0.5211638522952606
1990-09-01,104.45415459558367,9,-0.05397633087550134
1990-10-01,12.388725046738982,10,-0.5865453004205575
1990-11-01,-4.873347350694239,11,-0.42624048054192765
1990-12-01,-7.298850361481309,12,-0.15899559620754622
1991-01-01,-6.860711510330439,1,-0.13189083329289203
1991-02-01,-4.021848274879157,2,0.38497200233371515
1991-03-01,-2.1536615336313845,3,0.3603346623567349
1991-04-01,-1.3273670197650789,4,0.1460112672100322
1991-05-01,2.604057860858738,5,0.24233064757858092
1991-06-01,24.854399053193628,6,0.4316090129722581
1991-07-01,205.4995814922452,7,0.3898462687508651
1991-08-01,142.41341480538247,8,-0.5133979660085783
1991-09-01,100.16651245102284,9,-0.6330632054295119
1991-10-01,12.416121824141593,10,-0.5842046723225758
1991-11-01,-4.764307872392237,11,-0.37408250445487606
1991-12-01,-7.229250478707254,12,-0.08179384009982138
1992-01-01,-6.803318397030234,1,-0.03361421534314888
1992-02-01,-3.9790417609363793,2,0.5086375615261676
1992-03-01,-2.0883243859186766,3,0.5648242817150987
1992-04-01,-1.1941100680455563,4,0.444933842610376
1992-05-01,3.013794253654778,5,0.6046810454491254
1992-06-01,25.5086004283838,6,0.698019750497942
1992-07-01,205.438895830214,7,0.38791050436923835
1992-08-01,141.69425996243953,8,-0.5653120763853003
1992-09-01,103.81571114227177,9,-0.14020419493054376
1992-10-01,12.140277905818074,10,-0.6077712406235559
1992-11-01,-4.746310408897698,11,-0.36547359247919825
1992-12-01,-7.253457810804248,12,-0.10864515757456131
1993-01-01,-6.825308160372078,1,-0.07126820284244588
1993-02-01,-4.009614461883903,2,0.42031478514327586
1993-03-01,-2.1659392923489214,3,0.32190821898392985
1993-04-01,-1.2714579197019338,4,0.27142680436239836
1993-05-01,2.8762982299551365,5,0.4830864305475795
1993-06-01,25.170436405204235,6,0.5603090543170727
1993-07-01,205.66349227547644,7,0.39507473038947166
1993-08-01,141.76335615962742,8,-0.5603241831066502
1993-09-01,106.3200832027942,9,0.19803508445709359
1993-10-01,12.188437346778809,10,-0.6036567661713512
1993-11-01,-4.835750095061957,11,-0.4082561982366143
1993-12-01,-7.303082672581076,12,-0.16369017091476187
1994-01-01,-6.865295387208461,1,-0.13973999655946293
1994-02-01,-4.036911516301334,2,0.3414551633728375
1994-03-01,-2.1994090305268763,3,0.217155956915059
1994-04-01,-1.3557999020814897,4,0.0822305015658843
1994-05-01,2.5939976708963512,5,0.2334339181212619
1994-06-01,24.755641183685512,6,0.3913917987475489
1994-07-01,205.660787923336,7,0.3949884663795943
1994-08-01,142.29162430673838,8,-0.5221897379774237
1994-09-01,103.59402863644064,9,-0.17014452696312685
1994-10-01,12.381435127500444,10,-0.5871681105252273
1994-11-01,-4.84020551521331,11,-0.41038740522082595
1994-12-01,-7.281812942996621,12,-0.14009730824878486
1995-01-01,-6.8468990317732095,1,-0.10823915106043501
1995-02-01,-4.012829260490834,2,0.41102741668461695
1995-03-01,-2.1427528531849385,3,0.39447621873449956
1995-04-01,-1.296669242531061,4,0.21487265501344455
1995-05-01,2.707593982554972,5,0.3338928215768238
1995-06-01,24.988120815437288,6,0.4860645898842013
1995-07-01,205.50764046162365,7,0.39010333550029636
1995-08-01,142.22185202151536,8,-0.5272264364740666
1995-09-01,101.74884917102754,9,-0.41935357323878186
1995-10-01,12.347167605441063,10,-0.5900957367858527
1995-11-01,-4.771656949333846,11,-0.37759786407830265
1995-12-01,-7.24516897149384,12,-0.09945099049621109
1996-01-01,-6.817222147472203,1,-0.05742218622471835
1996-02-01,-3.993266653195023,2,0.46754266512864445
1996-03-01,-2.1184677709639077,3,0.4704827080489894
1996-04-01,-1.2335800875350833,4,0.35639452271249583
1996-05-01,2.92433766528964,5,0.5255701074017333
1996-06-01,25.31556208238005,6,0.6194086529369691
1996-07-01,205.51221081674095,7,0.3902491216769863
1996-08-01,141.8210940778255,8,-0.5561562174902448
1996-09-01,104.28173862487075,9,-0.07726274850016215
1996-10-01,12.195431477501987,10,-0.6030592265902882
1996-11-01,-4.777055512294173,11,-0.3801802142708565
1996-12-01,-7.267794257588684,12,-0.12454746694620876
1997-01-01,-6.836723906844854,1,-0.09081586091856188
1997-02-01,-4.015712775960565,2,0.4026971061743752
1997-03-01,-2.16919465623796,3,0.31171970990683384
1997-04-01,-1.2923997465893626,4,0.2244500069345664
1997-05-01,2.7957220579311253,5,0.41182888910112186
1997-06-01,25.04587563583627,6,0.509584112896032
1997-07-01,205.64258763343096,7,0.3944079095931279
1997-08-01,141.95366141974927,8,-0.5465864903466221
1997-09-01,105.3437782756984,9,0.06617581314155457
1997-10-01,12.25548161678016,10,-0.5979288770890798
1997-11-01,-4.830591543354094,11,-0.4057886550970795
1997-12-01,-7.294012951590121,12,-0.15362983230496977
1998-01-01,-6.857753625176847,1,-0.12682592336792872
1998-02-01,-4.028139274045825,2,0.36679766721114093
1998-03-01,-2.1802182716503737,3,0.27721843462084483
1998-04-01,-1.3336580189317464,4,0.13189927043631194
1998-05-01,2.647185516618192,5,0.2804705919389565
1998-06-01,24.837993777021765,6,0.42492828454519244
1998-07-01,205.61781576782465,7,0.3936177312626603
1998-08-01,142.2530872887373,8,-0.5249716354028945
1998-09-01,103.34073901496828,9,-0.20435370074911255
1998-10-01,12.366902615185827,10,-0.5884096874507898
1998-11-01,-4.82143731135875,11,-0.40140981707489004
1998-12-01,-7.274426681213081,12,-0.13190430047301258
1999-01-01,-6.841033968068659,1,-0.09819615823779405
1999-02-01,-4.009834190495312,2,0.4196800018101413
1999-03-01,-2.141113339699805,3,0.3996075031606584
1999-04-01,-1.2858011273667216,4,0.23925205835976862
1999-05-01,2.753720088750124,5,0.3746844457183293
1999-06-01,25.04347721353173,6,0.5086074022389121
1999-07-01,205.5238124874234,7,0.39061919427935715
1999-08-01,142.1390447589755,8,-0.533204099573569
1999-09-01,102.6822968775779,9,-0.2932825774044924
1999-10-01,12.316429262924938,10,-0.592721849599098
1999-11-01,-4.780638778880238,11,-0.3818942350624077
1999-12-01,-7.256165543384849,12,-0.11164863548229233
2000-01-01,-6.826514977514743,1,-0.07333468609183089
2000-02-01,-4.002049036771059,2,0.4421708635980443
2000-03-01,-2.1357553420215845,3,0.4163767522647053
2000-04-01,-1.2581998333334925,4,0.30116740153946897
2000-05-01,2.8638413079082965,5,0.4720701509608122
2000-06-01,25.19483980283141,6,0.5702468615528014
2000-07-01,205.5509371393919,7,0.3914844222984172
2000-08-01,141.9164765778184,8,-0.5492707773361115
2000-09-01,104.36486364878714,9,-0.0660359229690182
2000-10-01,12.23498769821599,10,-0.5996797633675687
2000-11-01,-4.793021331243216,11,-0.38781730879773973
2000-12-01,-7.273963560909032,12,-0.13139059701064115
